rank	spec	total_ms	load_ms	cases_ms	cases
1	perf_lab.spec	16494.5	23.7	16470.8	56
2	example_drift.spec	4258.5	2.2	4256.2	15
3	reference/sipworks_spec	3326.6	8.9	3317.7	70
4	extension_checker.spec	2682.0	5.4	2676.6	29
5	reference/glade_spec	2057.3	10.9	2046.4	82
6	reference/cartwheel_spec	1924.2	10.9	1913.3	62
7	theme_drift.spec	1321.5	1.6	1319.9	8
8	overflow_sweep.spec	1153.8	286.2	867.5	39
9	virtual_list_row_actions.spec	1023.6	13.1	1010.5	57
10	reference/foyer_spec	1004.4	5.1	999.4	24
11	row_actions_scenario.spec	722.0	4.3	717.7	29
12	sponsor_scenarios.spec	718.9	9.8	709.1	83
13	instance_recycling.spec	638.5	1.9	636.6	8
14	theme_matrix_audit.spec	484.6	481.4	3.2	14
15	table.spec	453.2	19.6	433.6	111
16	gallery_theme_picker.spec	412.1	11.6	400.5	41
17	theme_docs.spec	405.8	54.2	351.6	33
18	reference/wardrobe_spec	348.9	2.6	346.3	13
19	examples_gallery.spec	331.9	24.3	307.6	91
20	row_actions_input.spec	308.4	19.1	289.4	79
21	fine_grained_reactivity.spec	219.5	2.2	217.4	8
22	authoring.spec	204.2	8.6	195.6	62
23	theme_authoring_scenario.spec	200.8	5.9	194.9	22
24	smoke.spec	186.0	185.6	0.4	2
25	composition.spec	157.3	16.2	141.1	100
26	examples_games.spec	152.9	15.6	137.4	44
27	incremental_layout.spec	132.2	2.0	130.2	6
28	row_actions_motion.spec	122.1	3.4	118.7	10
29	table_input.spec	119.3	10.9	108.5	42
30	theme_asset_judgement.spec	116.3	109.8	6.5	15
31	virtual_list_row_actions_identity.spec	110.5	2.3	108.2	4
32	theme_chrome.spec	109.3	15.6	93.7	111
33	large_text_layout.spec	108.3	4.2	104.2	14
34	toast_presentation.spec	108.1	4.3	103.9	17
35	example_word_game.spec	108.0	4.4	103.6	41
36	theme_controller.spec	100.7	19.7	81.0	60
37	paradigm_hover.spec	97.0	96.6	0.4	5
38	theme_reference_packages.spec	96.2	10.6	85.5	83
39	large_text_matrix.spec	90.1	8.8	81.3	52
40	row_actions.spec	81.5	13.5	68.1	59
41	instance_recycling_themed.spec	76.9	2.2	74.7	12
42	rating.spec	75.2	4.5	70.7	26
43	text_reveal.spec	63.1	2.7	60.5	14
44	perf_principles.spec	58.8	2.1	56.7	8
45	paradigm_table.spec	55.8	8.0	47.8	28
46	collection_list.spec	52.1	7.4	44.7	40
47	gallery_demo_picker.spec	51.8	3.7	48.1	24
48	faults.spec	42.2	4.3	37.8	9
49	theme_layers.spec	40.1	7.7	32.4	44
50	sheet_model.spec	38.7	6.9	31.9	43
51	renderer.spec	35.3	17.6	17.7	43
52	haptics.spec	34.4	7.4	27.0	45
53	theme_value_displays.spec	31.5	9.1	22.4	62
54	virtual_list_input.spec	30.4	4.4	26.0	23
55	display_controls.spec	28.9	9.1	19.7	58
56	virtual_list_axis.spec	27.1	7.5	19.5	35
57	theme_layer_application.spec	27.0	7.8	19.2	58
